word,frequency,word_length,word_permutation,word_permutation_score,frequency_score,word_permutation_score_frequency_score_score
shear,88,5,120,-0.266213251965,0.343582726656,0.0773694746917
diets,78,5,120,-0.266213251965,0.344153519389,0.0779402674244
sparse,67,6,720,-0.265486252858,0.344781391395,0.0792951385373
retards,157,7,5040,-0.260251859288,0.3396442568,0.079392397512
mantel,60,6,720,-0.265486252858,0.345180946308,0.0796946934503
sate,37,4,24,-0.266329571822,0.346493769593,0.0801641977716
inks,25,4,24,-0.266329571822,0.347178720873,0.0808491490509
heros,24,5,120,-0.266213251965,0.347235800146,0.0810225481813
reduces,126,7,5040,-0.260251859288,0.341413714272,0.0811618549836
terse,17,5,120,-0.266213251965,0.347635355059,0.0814221030942
realist,115,7,5040,-0.260251859288,0.342041586278,0.0817897269896
tensor,18,6,720,-0.265486252858,0.347578275786,0.0820920229278
sprites,36,7,5040,-0.260251859288,0.346550848867,0.0862989895783
antigen,25,7,5040,-0.260251859288,0.347178720873,0.0869268615844
replays,13,7,5040,-0.260251859288,0.347863672152,0.0876118128637
recants,3,7,5040,-0.260251859288,0.348434464885,0.0881826055964
trainers,173,8,40320,-0.217504311804,0.338730988428,0.121226676624
recounts,39,8,40320,-0.217504311804,0.346379611047,0.128875299243
cratered,16,8,40320,-0.217504311804,0.347692434332,0.130188122528
calipers,7,8,40320,-0.217504311804,0.348206147792,0.130701835987
parroted,3,8,40320,-0.217504311804,0.348434464885,0.130930153081
confident,1620,9,362880,0.17333040805,0.256137279998,0.429467688049
casserole,185,9,362880,0.17333040805,0.338046037149,0.511376445199
auctioned,96,9,362880,0.17333040805,0.34312609247,0.516456500521
emigrants,63,9,362880,0.17333040805,0.345009708488,0.518340116539
percussion,127,10,3628800,4.13053194658,0.341356634999,4.47188858158
introduces,97,10,3628800,4.13053194658,0.343069013197,4.47360095978
omnipotent,90,10,3628800,4.13053194658,0.34346856811,4.47400051469
deductions,81,10,3628800,4.13053194658,0.343982281569,4.47451422815
harmonicas,13,10,3628800,4.13053194658,0.347863672152,4.47839561873
